step,forecast_analytical,forecast_numerical
1,169.6687430311068,170.15606507626705
2,169.59521001937853,170.33778452634698
3,169.48825928756685,169.62444215409866
4,172.24212341963093,172.20758049560044
5,171.871594963222,171.5383607979704
6,171.6986613614055,172.17068710812373
7,173.86461694247598,173.9082475995085
8,173.82121929686474,173.71420502290675
9,173.6830169796854,173.44823379999147
10,175.2301464767211,175.23885098639278
11,175.02833935448683,174.72667176873261
12,174.7462948097423,174.94809687836414
13,175.83443520963067,175.8591824858063
14,175.63655708037382,175.652418926996
15,175.43831538445738,175.62426715968815
16,176.2731258376282,176.46148791028295
17,176.0987386747427,176.19948946468153
18,175.9125722494558,176.19337198733115
19,176.57216189830578,176.81222248052526
20,176.411188851953,176.59362287299265
21,176.2527589784609,176.58253967194761
22,176.79953654888195,177.09434747061024
23,176.66550558571632,176.9073910196535
24,176.52639515616193,176.85839050991467
25,176.98817488603456,177.27271761891737
26,176.8575454642064,177.1034172297849
27,176.72220658717183,177.05463847406136
28,177.1244199833345,177.41220812104058
29,176.99818534786203,177.25502968864893
30,176.8666494968141,177.1957307374678
31,177.2247582062112,177.5097205356946
32,177.09996401922393,177.35980361663584
33,176.96952339353322,177.29825920422326
34,177.29560666348834,177.57875339504497
35,177.17175490424927,177.43733780509746
36,177.04284148294778,177.37083701584234
37,177.34610353648347,177.62962609684936
38,177.22381518824176,177.49180976553163
39,177.0963808854351,177.42354854486294
40,177.38293255180332,177.66604459164193
41,177.26170864955236,177.5316467943414
42,177.135444973534,177.46146346695215
43,177.40991869469372,177.6925162247814
44,177.28959945341575,177.56044179992145
45,177.16424109651751,177.48895804609873
46,177.42988366078964,177.7114978015675
47,177.3101572326483,177.58112960187196
48,177.1853818758605,177.50874165943233
49,177.444556610602,177.72534975042495
50,177.3252218124991,177.5961239518158
51,177.20085192832136,177.52308830815832
52,177.4553006133578,177.73533027222763
53,177.33624299661972,177.6069552378493
54,177.21215497075417,177.53346509497752
